text,label,pre_text
[c][ch-5]，[c]这些筛选出来的官员，[c]大都品级稍低，[c]眼下即是拉入[ch-5]阵营，[c]短期内，[c]也济不了事，[c][ch-5]十四党新建，[c]除了[ch-0]、[ch-3]、[ch-6]三人，[c]便再无大员，[c][ch-1]以为，[c]十四党若欲在朝堂与八党,"[1, 0, 0, 0, 0, 13, 0, 14, 15, 14, 14]",ch-5，这些筛选出来的官员，大都品级稍低，眼下即是拉入ch-5阵营，短期内，也济不了事，ch-5十四党新建，除了ch-0、ch-3、ch-6三人，便再无大员，ch-1以为，十四党若欲在朝堂与八党
[c]哎！,[2],哎！
[c]爸，[c]咱们去医院看吧。,"[1, 9]",爸，咱们去医院看吧。
[c]儿臣今天心情有些复杂，[c]想跟母后单独说说话。,"[0, 9]",儿臣今天心情有些复杂，想跟母后单独说说话。
[c]说呀，[c]说呀！,"[7, 7]",说呀，说呀！
[c]没有密码，[c]可以查阅。,"[13, 0]",没有密码，可以查阅。
[c]三婶，[c][ch-1]姐姐给没给俺们安排活啊？,"[1, 3]",三婶，ch-1姐姐给没给俺们安排活啊？
[c]你去多久跟我没关系。,[13],你去多久跟我没关系。
[c]下午四点就到站了。,[0],下午四点就到站了。
[c]都别吵了，[c]要我说，[c]干脆叫秋名山庄怎么样？,"[7, 14, 3]",都别吵了，要我说，干脆叫秋名山庄怎么样？
[c]送二皇子的姨娘离开吧！,[7],送二皇子的姨娘离开吧！
[c]我[ch-2]家接待不起这样高贵的人物。,[13],我ch-2家接待不起这样高贵的人物。
[c]嗯，[c]为了让[ch-0]读大学，[c]放弃了自己喜欢的医学，[c]改行去当直播，[c]因为直播更挣钱。,"[12, 14, 0, 0, 14]",嗯，为了让ch-0读大学，放弃了自己喜欢的医学，改行去当直播，因为直播更挣钱。
[c]都在呢？,[3],都在呢？
[c]正好我有个事跟爸商量一下。,[0],正好我有个事跟爸商量一下。
[c]那也好，[c]咱们现在就走吧！,"[0, 9]",那也好，咱们现在就走吧！
[c]最好就乘坐这只大鸟去，[c]会很快的！,"[9, 0]",最好就乘坐这只大鸟去，会很快的！
[c]没想到现在连来景春茶舍都消费不起了，[c]不过也是，[c]今非昔比了，[c]你也是的，[c]没钱了还来这么贵的地方干嘛，[c][ch-1]哥，[c]你看要不要看在多年合作的伙伴上帮她掏了。,"[13, 14, 0, 0, 4, 1, 3]",没想到现在连来景春茶舍都消费不起了，不过也是，今非昔比了，你也是的，没钱了还来这么贵的地方干嘛，ch-1哥，你看要不要看在多年合作的伙伴上帮她掏了。
[c]话说回来，[c]人家都是在高处站的久了的人，[c]能让你看出来还得了。,"[0, 0, 0]",话说回来，人家都是在高处站的久了的人，能让你看出来还得了。
