text,label
[ch-5]，,1
这些筛选出来的官员，,0
大都品级稍低，,0
眼下即是拉入[ch-5]阵营，,0
短期内，,0
也济不了事，,13
[ch-5]十四党新建，,0
除了[ch-0]、[ch-3]、[ch-6]三人，,14
便再无大员，,15
[ch-1]以为，,14
十四党若欲在朝堂与八党,14
哎！,2
爸，,1
咱们去医院看吧。,9
儿臣今天心情有些复杂，,0
想跟母后单独说说话。,9
说呀，,7
说呀！,7
没有密码，,13
可以查阅。,0
三婶，,1
[ch-1]姐姐给没给俺们安排活啊？,3
你去多久跟我没关系。,13
下午四点就到站了。,0
都别吵了，,7
要我说，,14
干脆叫秋名山庄怎么样？,3
送二皇子的姨娘离开吧！,7
我[ch-2]家接待不起这样高贵的人物。,13
嗯，,12
为了让[ch-0]读大学，,14
放弃了自己喜欢的医学，,0
改行去当直播，,0
因为直播更挣钱。,14
都在呢？,3
正好我有个事跟爸商量一下。,0
那也好，,0
咱们现在就走吧！,9
最好就乘坐这只大鸟去，,9
会很快的！,0
没想到现在连来景春茶舍都消费不起了，,13
不过也是，,14
今非昔比了，,0
你也是的，,0
没钱了还来这么贵的地方干嘛，,4
[ch-1]哥，,1
你看要不要看在多年合作的伙伴上帮她掏了。,3
话说回来，,0
人家都是在高处站的久了的人，,0
能让你看出来还得了。,0
额，,1
这。,0
好！,12
我答应！,0
[ch-0]现在怎么样了？,3
来了，,0
看看这像不像她,3
啊，,2
怎么了？,3
不在？,3
[ch-1]老太爷您明鉴啊。,6
呵呵,0
这件事涉及到的隐秘已经超出了我们的想象，,0
也超出了我们的处理能力之外等吧，,0
等龙帝阁下回归，,0
让龙帝阁下定夺至于我们现在收回一切针对百里青锋的行动，,0
以观察为主，,0
并且传令我们光辉帝国所有部门，,7
以及那些皇室子弟，,0
他们为了突破自己的剑道，,0
决战生死。,0
在诗韵九窍玲珑心没有完全觉醒之前，,0
请你保护好诗韵！,6
快，,7
马上再派一批人进酒吧会所，,7
重点寻找有没有什么秘道，,7
他一定在我们之前从秘道里跑了。,0
你不能对我的容貌和身材动心，,13
但可以是我的灵魂、气质、人品。,15
君子曦去了北陵。,0
你以前，,3
是不是很喜欢他？,3
大哥你还没醒吗？,4
怎么了？,3
[ch-0]，,1
这到底是怎么回事啊？,3
恩！,12
县令以捉拿[ch-1]一家为由，,0
加派了人手，,0
在太原府周围设卡，,0
[ch-2]二爷受了伤本就走的不快，,0
这样下去恐怕会被追上。,10
事成之后，,0
我会为你准备好一百个.,8
我试试吧。,9
你姐来电话了，,0
没挂断，,13
等着你去接。,0
不然我就把你送给我那群手下。,14
本官两袖清风、为官清廉，,0
本县百姓，,0
夜不闭户、路不拾遗，,0
民风淳朴、安居乐业。,0
你说的没错，,13
一个人的气运，,0
有高有低，,0
此时此刻我的气运高歌猛涨，,0
但不代表未来就一定能持续下去，,13
我自己也察觉得到，,0
可能最多持续个几百万个时代，,0
就只剩下亿点点了。,15
